Score,Probe,P_id,GSR_diff,HR_diff,video_id,valence_acc_video,arousal_acc_video
1.752163742,0,10,1.3,0.02,3,0,0
4.237429031,0,10,1.14,0.04,3,0,0
2.109447015,0,10,4.12,0.06,3,0,0
6.02088894,1,10,1.06,0.26,3,0,0
1.670403469,0,10,0.58,0.26,3,0,0
5.353327088,1,10,1.36,0.1,3,0,0
4.128053642,0,10,1.34,0.06,3,0,0
3.923139355,0,10,1.28,0.24,3,0,0
6.581377803,1,10,2.9,0.2,3,0,0
0.583935668,0,10,0.76,0.06,3,0,0
3.262272211,0,10,1.3,0.18,3,0,0
3.290570102,0,10,0.96,0.1,3,0,0
4.43304376,0,10,0.88,0.04,3,0,0
5.054921211,1,10,2.24,0.06,4,0,0
5.071835463,1,10,1.62,0.6,4,0,0
1.721263551,0,10,0.84,0.18,4,0,0
1.111211578,0,10,0.1,0.42,4,0,0
2.841988625,0,10,0.74,0.28,4,0,0
4.829745352,1,10,3.92,0.66,4,0,0
5.214994188,1,10,2.74,1.46,4,0,0
2.834592333,0,10,1.58,1,4,0,0
2.30500814,0,10,1.54,0.28,4,0,0
2.392903319,0,10,0.6,0.06,4,0,0
6.872823732,1,10,2.76,0.22,4,0,0
0.088619867,0,10,0.2,0.04,4,0,0
2.764336383,0,10,0.96,0.08,4,0,0
4.613364952,0,10,1.28,0.02,4,0,0
4.226079298,0,10,1,0.02,4,0,0
2.780624831,0,10,1.1,0.22,4,0,0
2.659155345,0,10,0.96,0.12,4,0,0
3.117677881,0,10,0.86,0.3,4,0,0
1.070523882,0,10,0.5,0.06,4,0,0
3.254467951,0,10,1.08,0.2,4,0,0
3.226163981,0,10,0.94,0.26,4,0,0
3.075178905,0,10,0.92,0.3,4,0,0
4.31933058,0,10,1.06,0.08,4,0,0
1.484145451,0,10,0.76,0.02,4,0,0
2.718033936,0,10,0.86,0.24,4,0,0
1.442333231,0,10,0.74,0.02,4,0,0
1.722679575,0,10,0.86,0.06,4,0,0
2.081079654,0,10,0.74,0.06,4,0,0
2.26475345,0,10,0.68,0.06,4,0,0
1.467751596,0,10,0.56,0.28,4,0,0
0.719977456,0,10,0.86,0.22,4,0,0
2.145010573,0,10,1.34,0.24,5,1,0
1.803036212,0,10,1.44,0.04,5,1,0
0.235844182,0,10,0.46,0.08,5,1,0
5.228389205,0,10,7.12,0.3,5,1,0
3.263392699,0,10,13.02,0,5,1,0
5.459991535,0,10,5.14,0.28,5,1,0
4.431700664,0,10,2.72,0.18,5,1,0
5.570427973,1,10,2.24,0.04,5,1,0
5.396829964,0,10,2.62,0.08,5,1,0
1.816158953,0,10,0.32,0.26,5,1,0
1.359802258,0,10,1.28,0.02,5,1,0
2.704459762,0,10,1.74,0,5,1,0
3.319660695,0,10,1.66,0.04,5,1,0
3.107996355,0,10,1.4,0.6,5,1,0
3.548400856,0,10,2.24,0.16,5,1,0
5.821540344,1,10,2.46,9.56,5,1,0
4.387588331,0,10,4.86,10.2,5,1,0
4.719777694,0,10,2.64,0.2,5,1,0
3.299078663,0,10,4.44,0.66,5,1,0
1.394882128,0,10,2.08,0.06,5,1,0
1.876603094,0,10,1.82,0.02,5,1,0
0.000648444,0,10,0.08,0,5,1,0
0.979501611,0,10,0.74,0.3,5,1,0
4.43992288,0,10,1.88,0.22,5,1,0
1.672630203,0,10,0.82,0.16,5,1,0
0.132223989,0,10,0.06,0.12,5,1,0
0.116174626,0,10,0.26,0.04,5,1,0
0.798707477,0,10,1.32,0.06,6,1,0
4.263020554,0,10,2.82,0.32,6,1,0
5.394421908,1,10,3.8,0.3,6,1,0
3.202430603,0,10,2.16,0.38,6,1,0
3.597594826,0,10,2.7,0.16,6,1,0
4.964569092,1,10,2.62,0.52,6,1,0
6.2948685,1,10,2.46,0.08,6,1,0
4.551231335,0,10,2.12,0.22,6,1,0
3.733201158,0,10,1.38,0.06,6,1,0
5.003726935,1,10,1.3,0.12,6,1,0
3.167087941,0,10,1.06,0.12,6,1,0
3.500120018,0,10,0.3,2.3,6,1,0
5.317621246,1,10,0.56,1.28,6,1,0
2.176488507,0,10,0.96,0.08,6,1,0
1.960876774,0,10,0.88,0.12,6,1,0
2.080865675,0,10,0.84,0.08,6,1,0
3.48029583,0,10,1.04,0.04,6,1,0
2.364211281,0,10,0.92,0.04,6,1,0
0.174966624,0,10,0.32,0.18,6,1,0
1.766405791,0,10,1.18,0.18,6,1,0
0.703371871,0,10,0.48,0.02,6,1,0
3.441608961,0,10,1.08,0.06,6,1,0
1.81393486,0,10,0.78,0.08,6,1,0
1.322468859,0,10,0.8,0.16,6,1,0
1.372241721,0,10,0.76,0.14,6,1,0
1.710821768,0,10,0.62,0.08,6,1,0
0.59866429,0,10,0.44,0.18,6,1,0
1.205540969,0,10,0.46,0.32,7,0,1
0.783387423,0,10,0.1,0.24,7,0,1
8.364661044,1,10,11.2,0.1,7,0,1
1.582959032,0,10,3.74,0.06,7,0,1
2.167309155,0,10,1.56,0,7,0,1
5.337720505,0,10,1.48,0.1,7,0,1
2.283457666,0,10,1.28,0.1,7,0,1
1.22394174,0,10,1.72,0.12,7,0,1
4.127772708,0,10,1.1,0.1,7,0,1
6.203718886,0,10,1.98,0.12,7,0,1
7.831950735,1,10,4.84,0.06,7,0,1
3.747119666,0,10,1.2,0.06,7,0,1
5.373294635,0,10,1.5,0.06,7,0,1
3.335419255,0,10,4.02,0.36,7,0,1
3.769103154,0,10,8.42,0.06,7,0,1
7.157944157,0,10,31.42,0.24,7,0,1
7.727721117,0,10,16.2,0.4,7,0,1
3.457427933,0,10,2.54,0.16,7,0,1
3.626858017,0,10,3.68,0.18,7,0,1
5.845862257,0,10,5.44,0.16,7,0,1
5.318682629,0,10,4.56,0.06,7,0,1
1.716829579,0,10,0.04,0.1,7,0,1
7.367808105,0,10,6.58,0.62,7,0,1
3.263908451,0,10,2.86,0.14,7,0,1
7.456362914,0,10,27.7,0.06,7,0,1
2.018037196,0,10,12.9,0,7,0,1
8.439389454,1,10,15.66,0.12,7,0,1
8.625055092,1,10,12.02,0.44,7,0,1
6.797614948,0,10,8.7,0.46,7,0,1
4.791138997,0,10,5.58,0.36,7,0,1
4.867854646,0,10,4.68,0,7,0,1
0.151733374,0,10,0.16,0.16,7,0,1
2.915881066,0,10,2.72,0.06,7,0,1
3.042696785,0,10,3.28,0.1,7,0,1
4.197837869,0,10,2.7,0.12,7,0,1
3.770009476,0,10,2.34,0.14,7,0,1
5.631112356,0,10,2.3,0.02,7,0,1
5.364786993,0,10,1.86,0.18,7,0,1
3.146880873,0,10,3.6,0.1,8,0,1
1.375399705,0,10,0.38,0.16,8,0,1
3.26131478,0,10,3.4,0.08,8,0,1
3.440071521,0,10,1.5,0.68,8,0,1
2.322550507,0,10,2.08,0.22,8,0,1
5.542460644,0,10,3.86,1.22,8,0,1
5.995364418,1,10,1.86,0.24,8,0,1
6.682082119,1,10,4.2,0.92,8,0,1
3.720343015,0,10,3.98,0.16,8,0,1
4.346798344,0,10,3.14,0.54,8,0,1
5.39240987,0,10,2.72,0.24,8,0,1
2.973276302,0,10,2.36,0.32,8,0,1
3.960077983,0,10,2.28,0.18,8,0,1
2.426639987,0,10,1.98,0.4,8,0,1
2.880867122,0,10,1.88,0.08,8,0,1
6.782325118,1,10,8.1,0.08,8,0,1
2.161592328,0,10,3.2,0.02,8,0,1
1.173163093,0,10,0.82,0.04,8,0,1
2.271820347,0,10,0.52,0.14,8,0,1
6.05136297,1,10,4.9,0.58,8,0,1
4.526716623,0,10,3.3,0.88,8,0,1
1.763061598,0,10,1.52,0.04,8,0,1
3.206824951,0,10,16.84,0.12,8,0,1
2.589198949,0,10,11.3,0.04,8,0,1
3.268681303,0,10,3.26,0.06,8,0,1
2.502342788,0,10,3.8,0.14,8,0,1
6.156576501,1,10,6.2,0.14,8,0,1
7.518726399,1,10,5.52,0.02,8,0,1
2.012153183,0,11,1.6,0.02,1,1,1
3.349730694,0,11,2.14,0.32,1,1,1
2.909990036,0,11,1.84,0.04,1,1,1
2.0486709,0,11,1.32,0.12,1,1,1
0.087833842,0,11,0.18,0.12,1,1,1
3.348615042,0,11,1.88,0.12,1,1,1
4.089125094,1,11,4.08,0.18,1,1,1
2.106726157,0,11,0.7,0.1,1,1,1
0.455817458,0,11,0.18,0.1,1,1,1
2.148601383,0,11,2.82,0.18,1,1,1
3.571792742,1,11,3.16,0.36,1,1,1
0.789309165,0,11,0.2,0.14,1,1,1
1.188805459,0,11,2.32,0.12,1,1,1
3.01335243,0,11,2.34,0.32,1,1,1
1.554522268,0,11,1.98,0.2,1,1,1
4.36632551,1,11,3.88,0.2,1,1,1
2.654663523,0,11,2.68,0.4,1,1,1
0.719370394,0,11,0.4,0.18,1,1,1
6.418542056,1,11,3.76,0.06,1,1,1
0.946289666,0,11,0.96,0.06,1,1,1
7.996897595,1,11,5.24,0.34,1,1,1
3.560406902,0,11,3.6,0.46,1,1,1
1.700283486,0,11,1.68,0.56,1,1,1
1.75E-05,0,11,0.2,0.06,1,1,1
5.150794044,1,11,5.16,0.18,1,1,1
0.006863963,0,11,0.02,0.02,1,1,1
1.382304954,0,11,1.54,0.2,1,1,1
3.675767396,1,11,3.88,0.04,1,1,1
3.055480492,0,11,2.46,0.08,1,1,1
0.694280378,0,11,0.98,0.04,1,1,1
0.26842786,0,11,0.12,0.38,1,1,1
0.724393635,0,11,0.7,0.34,1,1,1
1.444220016,0,11,2,0.24,1,1,1
0.770881586,0,11,0.26,0.14,1,1,1
8.05936086,1,11,9.6,0.04,2,1,1
3.371550545,0,11,3.42,0.18,2,1,1
0.766979982,0,11,0.64,0.08,2,1,1
3.456065832,0,11,2.28,0.22,2,1,1
2.306951059,0,11,1.12,0.02,2,1,1
0.054546445,0,11,0.36,0.02,2,1,1
4.137629691,1,11,1.94,0.02,2,1,1
4.171947288,1,11,2.3,0.12,2,1,1
1.442076469,0,11,2.18,0.04,2,1,1
0.744344975,0,11,1.26,0.12,2,1,1
0.447242607,0,11,0.12,0.12,2,1,1
0.473916023,0,11,0.68,0.16,2,1,1
0.176262948,0,11,0.04,0.26,2,1,1
0.099997756,0,11,0.2,0.14,2,1,1
0.612519869,0,11,1.12,0,2,1,1
2.748747465,0,11,2.04,0.28,2,1,1
0.459756851,0,11,0.16,0.14,2,1,1
0.246718661,0,11,0.36,0.3,2,1,1
0.5153145,0,11,0.54,0.2,2,1,1
0.746810626,0,11,0.56,0.04,2,1,1
2.674130604,0,11,1.58,0.2,2,1,1
2.894811898,0,11,2.4,0.3,2,1,1
5.058220154,1,11,2.12,0.48,2,1,1
0.237322928,0,11,0.78,0.22,2,1,1
0.674957959,0,11,0.76,0.04,2,1,1
0.805369837,0,11,0.68,0,2,1,1
3.782997086,1,11,2.62,0.14,2,1,1
0.992023175,0,11,0.24,0.16,2,1,1
0.769386187,0,11,1.88,0.14,2,1,1
0.002776655,0,11,0.02,0,2,1,1
4.154949698,1,11,2.76,0.1,2,1,1
0.159654613,0,11,0.7,0.14,2,1,1
8.62E-05,0,11,0.06,0.16,2,1,1
3.778713188,1,11,2.52,0.14,3,0,0
4.594233379,1,11,5.38,0.04,3,0,0
4.61082339,1,11,2.16,0.02,3,0,0
0.00193772,0,11,0.26,0.12,3,0,0
3.436707243,0,11,2.28,0.1,3,0,0
0.751821789,0,11,0.52,0.02,3,0,0
0.794734548,0,11,0.08,0.04,3,0,0
2.599196481,0,11,1.12,0.04,3,0,0
0.329330896,0,11,0.76,0.14,3,0,0
3.647768702,0,11,3.3,0.2,3,0,0
1.137393599,0,11,0.86,0.3,3,0,0
1.821840003,0,11,1.96,0.14,3,0,0
2.657244003,0,11,2.74,0.18,3,0,0
3.215654318,0,11,1.44,0.18,3,0,0
1.570259464,0,11,1.54,0.02,3,0,0
5.392916566,1,11,2.78,0.1,3,0,0
4.679636385,1,11,2.84,0.02,3,0,0
0.225046033,0,11,0.56,0.2,3,0,0
2.819228971,0,11,1.06,0.14,3,0,0
3.769996769,1,11,1.88,0.04,3,0,0
3.820629364,1,11,1.64,0.34,3,0,0
2.805028834,0,11,1.26,0.1,3,0,0
3.169537416,0,11,7.72,0.14,4,0,0
4.91515309,1,11,3.96,0.1,4,0,0
5.492464688,1,11,3,0.1,4,0,0
